время, раз
нравится, нравится
закончилось, закончилось
люди,народы
знаю, знает
вижу, видит
ну, колодцы
назад, спины
путь, пути
думаю, думает
работа, работает
иди, идет
да, права
хорошо, товар
три, три
сделать, делает
все еще, кадры
год, годы
последний, длится
возьми, берет
собственный, владеет
приходи, приходит
скажи, говорит
собирается, происходит
использовать, использует
правительство, правительства
день, дни
чувак, мужик
положить, ставит
мир, миры
хочу, хочет
мысль, мысли
потребность, потребности
старые, старые
смотри, выглядит
дом, дома
часть, части
конец, заканчивается
номер, цифры
место, места
местный, местные жители
отлично, отлично
дать, дает
набор, наборы
система, системы
значит, значит
дело, дела
найти, находит
группа, группы
секунда, секунды
пять, пятёрки
вечеринка, вечеринки
точка, точки
компания, компании
штат, штаты
помогите, помогает
голова, головы
национальные, граждане
деньги, деньги
факт, факты
ночь, ночи
рука, руки
вещь, вещи
площадь, районы
вода, воды
лицо, лица
форма, формы
генерал, генералы
сторона, стороны
круглый, раунды
власть, полномочия
изменения, изменения
совет, советы
комната, комнаты
скажи, рассказывает
сервис, услуги
стать, становится
открыть, открывает
рынок, рынки
поддержка, поддерживает
работаю, работаю
контроль, контроль
майор, майоры
проблема, проблемы
дела, дела
ум, умы
война, войны
машина, автомобили
держи, держи
отчет, отчеты
интерес, интересы
действовать, действует
дорога, дороги
труд, труды
закон, законы
исследования, исследования
шоу, шоу
пила, пилы
чувствовать, чувствует
имя, имена
мать, матери
вопрос, вопросы
давай, давай
политика, политика
офис, офисы
ясно, очищает
тело, тела
дверь, двери
голос, голоса
человек, люди
основной, сеть
забота, заботы
черный, негры
книга, книги
миллион, миллионы
период, периоды
министр, министры
отец, отцы
общество, общества
добрый, виды
бог, боги
топ, топы
начать, начинается
любовь, любит
эффект, эффекты
город, города
позиция, позиции
центр, центры
сообщество, сообщества
вид, просмотры
персонал, персонал
читать, читает
процесс, процессы
линия, линии
будущее, будущее
частности, подробности
предоставить, обеспечивает
подарок, подарки
брать, брать
учеба, учеба
момент, моменты
беги, бежит
особенный,специальный
результат, результаты
действие, действия
плати, платит
чувство, чувства
возраст, возраст
заказ, заказы
менеджмент, менеджмент
идея, идеи
свет, огни
играть, играет
сортировать, сортировать
попробуй, пытается
близко, закрывается
опыт, опыт
земля, земли
третья, третьи
верю, верит
утро, утро
поворот, повороты
встреча, встречи
уходи, уходит
стоимость, затраты
церковь, церкви
двигаться, движется
европейцы, европейцы
десять, десятки
имеет значение, имеет значение
стол, столы
торговля, торгует
промышленность, отрасли промышленности
век, века
курс, курсы
улица, улицы
человек, люди
позвони, позвони
спросить, спрашивает
слово, слова
помни, помнит
сто, сотни
индивидуум, индивидуумы
воздух, воздух
программа, программы
ставка, ставки
еда, продукты
комитет, комитеты
команда, команды
язык, языки
короткие шорты
поговорка, поговорки
много, много
цена, цены
причина, причины
одинокий, одиночные
власть, авторитеты
город, города
общий, общий
роль, роли
предмет, предметы
природа, природа
банк, банки
ценность, ценности
надежда, надежды
отдел, отделы
фигура, цифры
союз, союзы
итого, итоги
резать, резать
член, члены
бумага, документы
семь, семерки
тип, типы
жить, живет
практика, практики
кажется, кажется
говорить, говорить
бывший, бывшие
увеличение, увеличение
друг, друзья
решение, решения
возвращение, возвращается
президент, президенты
сцена, этапы
университет, университеты
Лорд, Лорды
проблема, проблемы
король, короли
американец, американцы
налог, налоги
качество, качества
дата, даты
подход, подходы
отдых, отдых
земля, основания
неправильно, неправильно
марш, марши
ситуация, ситуации
кровать, кровати
счет, счета
предложение, предложения
двадцать, двадцатые
секретарь, секретари
производство,постановки
понимаю, понимает
принеси, принеси
сумма, суммы
поле, поля
вперед, вперед
включать, включает
стоп, стоп
награда, награды
фронт, фронты
месяц, месяцы
игра, игры
запись, записи
план, планы
королевский, королевская семья
зеленый, зелень
вести, ведет
звук, звуки
сделка, сделки
ответ, ответы
пожалуйста, пожалуйста
внутри, внутренности
ток, токи
встретимся, встретимся
огонь, пожары
слышу, слышит
безопасность, ценные бумаги
доска, доски
вечер, вечера
структура, структуры
счет, счета
сердце, сердца
тест, тесты
внимание, внимание
история, истории
капитал, столицы
держи, держит
письмо, письма
доля, акции
за человека
материал, материалы
успех, успехи
шанс, шансы
мальчик, мальчики
соглашение, соглашения
хорошо, штрафы
население, население
теория, теории
пресс, прессует
сын, сыновья
чувство, чувства
причина, причины
море, моря
окружающая среда, окружающая среда
немного, биты
дизайн, дизайны
отношения, отношения
полный, завершает
стандарт, стандарты
список, списки
размер, размеры
посещение, визиты
космос,пространства
ключ, ключи
скучаю, скучаю
пример, примеры
собственность, свойства
купить, покупает
оставайся, оставайся
срок, условия
отметка, отметки
ниже, опускается
поведение, поведение
чашка, чашки
фирма, фирмы
холод, простуда
энергия, энергии
лечение, процедуры
спасибо, спасибо
директор,режиссеры
зал, залы
выбор, выбор
доход, доходы
стена, стены
давление, давление
контракт, контракты
прямой, направляет
желание, пожелания
продолжать, продолжается
технологии, технологии
рассмотреть, считает
оборона, защита
потери, потери
производить, производит
письмо, сочинения
пол, полы
цвет, цвета
деятельность, деятельность
ассоциация, ассоциации
позвольте, позволяет
армия, армии
попытка, попытки
немецкий, немцы
вождь, вожди
округ, округа
лето, лето
деревня, деревни
разница, различия
час, часы
претензия, претензии
роза, розы
муж, мужья
базовый, основы
потенциал, потенциалы
профессионал, профессионалы
падать, падает
обложка, обложки
продукт, продукты
стоять, стоит
мужчина, мужчины
апелляция, апелляции
спрос, требования
сезон, времена года
единица, единицы
появиться, появится
чтение, чтения
инвестиции, инвестиции
картинка, картинки
писать, пишет
страница, страницы
независимый, независимые
польза, выгоды
магазин, магазины
стиль, стили
упал, упал
наука, науки
заметка, заметки
окно, окна
ожидать, ожидает
победа, победа
подъем, подъем
доктор, врачи
влияние, влияет
комиссия, комиссии
синий, блюз
гулять, гулять
беспокойство, заботы
событие, события
контакт, контакты
тысяча, тысячи
заряд, сборы
обеспечить, обеспечивает
масло, масла
возможность, возможности
колледж, колледжи
фильм, фильмы
доверие, доверяет
положение, турнирная таблица
кровь, кровь
лежал, лежал
нести, несет
не хватает, не хватает
операция, операции
вестерн, вестерны
степень, степень
приложение, приложения
телевизор, телевизоры
прямой, прямой
степень,градусы
большинство, большинство
удар, удары
средний, средние
регион, регионы
уходя, уходя
стекло, очки
заявление, заявления
чиновник, чиновники
принять, принимает
титул, титулы
выборы, выборы
парламент, парламенты
леди, дамы
земля, земли
обзор, обзоры
матч, спички
поставки, поставки
глаз, глаза
смотреть часы
следовать, следует
дополнительные, дополнительные услуги
атака, атаки
